Install Day,安卓,IOS
总计,"1,743,197","1,661,785"
1-Nov-20,"5,804","33,293"
2-Nov-20,"6,205","39,147"
3-Nov-20,"5,026","30,389"
4-Nov-20,"7,996","28,080"
5-Nov-20,"9,067","24,031"
6-Nov-20,"9,755","21,522"
7-Nov-20,"18,747","19,718"
8-Nov-20,"41,735","22,701"
9-Nov-20,"79,163","22,410"
10-Nov-20,"55,240","19,138"
11-Nov-20,"43,801","17,333"
12-Nov-20,"36,686","17,982"
13-Nov-20,"31,957","15,929"
14-Nov-20,"41,769","18,082"
15-Nov-20,"42,248","19,508"
16-Nov-20,"40,576","20,801"
17-Nov-20,"25,760","15,562"
18-Nov-20,"23,473","18,912"
19-Nov-20,"21,435","22,168"
20-Nov-20,"22,288","24,028"
21-Nov-20,"24,720","19,670"
22-Nov-20,"25,689","20,494"
23-Nov-20,"24,912","21,801"
24-Nov-20,"18,893","17,068"
25-Nov-20,"17,760","15,593"
26-Nov-20,"17,587","23,142"
27-Nov-20,"22,738","26,528"
28-Nov-20,"19,710","19,349"
29-Nov-20,"19,356","16,537"
30-Nov-20,"19,495","18,039"
1-Dec-20,"13,568","14,043"
2-Dec-20,"13,147","12,892"
3-Dec-20,"12,087","10,818"
4-Dec-20,"13,023","11,778"
5-Dec-20,"13,967","12,163"
6-Dec-20,"15,897","14,038"
7-Dec-20,"14,862","14,766"
8-Dec-20,"12,518","13,393"
9-Dec-20,"11,077","12,230"
10-Dec-20,"10,958","12,701"
11-Dec-20,"9,840","12,214"
12-Dec-20,"8,460","12,457"
13-Dec-20,"8,679","13,476"
14-Dec-20,"9,128","14,560"
15-Dec-20,"7,699","12,297"
16-Dec-20,"7,444","11,089"
17-Dec-20,"8,718","10,731"
18-Dec-20,"12,201","10,816"
19-Dec-20,"10,159","10,415"
20-Dec-20,"13,090","12,456"
21-Dec-20,"10,437","13,110"
22-Dec-20,"9,802","11,155"
23-Dec-20,"9,762","11,479"
24-Dec-20,"9,079","11,305"
25-Dec-20,"9,157","9,541"
26-Dec-20,"10,414","12,482"
27-Dec-20,"9,423","10,458"
28-Dec-20,"10,360","13,088"
29-Dec-20,"8,838","10,215"
30-Dec-20,"9,535","9,890"
31-Dec-20,"10,102","10,210"
1-Jan-21,"10,482","11,665"
2-Jan-21,"14,361","19,838"
3-Jan-21,"14,162","20,593"
4-Jan-21,"14,257","21,026"
5-Jan-21,"10,168","14,070"
6-Jan-21,"9,519","11,573"
7-Jan-21,"10,781","12,474"
8-Jan-21,"17,683","15,007"
9-Jan-21,"16,909","15,104"
10-Jan-21,"18,499","15,800"
11-Jan-21,"19,875","21,794"
12-Jan-21,"16,345","16,721"
13-Jan-21,"16,225","15,243"
14-Jan-21,"13,783","14,028"
15-Jan-21,"12,598","14,292"
16-Jan-21,"13,823","13,430"
17-Jan-21,"18,050","17,473"
18-Jan-21,"17,168","16,977"
19-Jan-21,"14,153","13,585"
20-Jan-21,"12,552","12,538"
21-Jan-21,"11,351","11,488"
22-Jan-21,"11,336","12,520"
23-Jan-21,"11,929","11,040"
24-Jan-21,"14,305","12,992"
25-Jan-21,"15,406","12,578"
26-Jan-21,"12,620","11,297"
27-Jan-21,"10,228","9,863"
28-Jan-21,"10,987","9,959"
29-Jan-21,"9,788","12,668"
30-Jan-21,"9,991","11,638"
31-Jan-21,"10,967","12,087"
1-Feb-21,"12,251","12,045"
2-Feb-21,"10,981","10,314"
3-Feb-21,"9,061","11,275"
4-Feb-21,"8,905","9,046"
5-Feb-21,"8,826","9,389"
6-Feb-21,"9,879","9,519"
7-Feb-21,"14,109","12,898"
8-Feb-21,"14,552","11,738"
9-Feb-21,"11,898","9,223"
10-Feb-21,"10,417","9,161"
11-Feb-21,"10,488","8,449"
12-Feb-21,"10,625","9,127"
13-Feb-21,"11,049","11,133"
14-Feb-21,"12,663","10,462"
15-Feb-21,"12,221","11,362"
16-Feb-21,"10,599","12,636"
17-Feb-21,"10,505","12,534"
18-Feb-21,"10,130","9,489"
19-Feb-21,"10,715","9,403"
