,0,1
0,20600000001576,Talking Tom Cat
1,20600000003868,Glow Hockey
2,20600000008203,Fruit Ninja
3,20600000012718,Spider Solitaire by MobilityWare
4,20600000016682,MobilityWare Solitaire
5,20600000022404,Death Worm
6,20600000022667,Tic Tac Toe Glow
7,20600000032145,Chess.com
8,20600000227386,Slotomania
9,20600000241206,The Sims FreePlay
10,20600000241469,Airport City
11,20600000281373,Temple Run
12,20600000282770,Cut the Rope
13,20600000312478,DoubleDown Casino
14,20600000368372,Little Alchemy
15,20600000372242,Flow Free
16,20600000382917,Talking Husky Dog
17,20600000396885,AVL Aplicativos Bike Race
18,20600000412952,Pou
19,20600000444429,Subway Surfers
20,20600000448082,BINGO Blitz
21,20600000480753,Hill Climb Racing
22,20600000488751,Jetpack Joyride
23,20600000491485,Don't Forget the Lyrics
24,20600000515994,Kids Doodle
25,20600000522433,My Singing Monsters
26,20600000578686,Candy Crush Saga
27,20600000601114,8 Ball Pool
28,20600000629903,PBA Bowling Challenge
29,20600000634133,Hungry Shark Evolution
30,20600000652014,PAC-MAN
31,20600000718388,Temple Run 2
32,20600000750467,Vector
33,20600000792833,Bubble Shooter by Ilyon
34,20600000793235,Real Racing 3
35,20600000810758,Talking Gummy Free Bear Games for kids
36,20600001080009,Angry Birds Friends
37,20600001261783,Minion Rush
38,20600001290168,Gangstar Vegas
39,20600001317638,Dragon City
40,20600001320462,Slots - House of Fun
41,20600001368710,Bloons TD Battles
42,20600001405777,Solitaire TriPeaks
43,20600001472271,Asphalt 8: Airborne
44,20600001484143,Caesars Slots
45,20600001526240,Zombie Tsunami
46,20600001540840,Geometry Dash
47,20600001548874,Finding Blue
48,20600001568277,Shadow Fight 2
49,20600001580962,Clash of Clans
50,20600001610903,Where's My Water? 2
51,20600001615945,Plants vs. Zombies 2
52,20600001654056,Trivia Crack
53,20600001657116,Covet Fashion
54,20600001696370,Township
55,20600001704583,My Talking Tom
56,20600001709648,Hay Day
57,20600001726495,World Series of Poker
58,20600001747570,Sonic Dash
59,20600001789617,Run
60,20600001789765,Avakin Life
61,20600001790552,Farm Heroes Saga
62,20600002024972,Episode
63,20600002027658,Pixel Gun 3D
64,20600002031112,Magic Jigsaw Puzzles
65,20600002068297,Smash Hit
66,20600002945641,Mermaids
67,20600002949997,DEAD TARGET: Zombie
68,20600002994473,Monster Legends
69,20600003032645,WWE SuperCard
70,20600003071784,Candy Crush Soda Saga
71,20600003100490,ROBLOX
72,20600003225969,Red Ball 4
73,20600003237381,Extreme Car Driving Simulator
74,20600003248268,Cooking Fever
75,20600003533506,Wrestling Revolution 3D
76,20600003537431,My Talking Angela
77,20600003553477,AdVenture Capitalist
78,20600003554043,Payback 2
79,20600003587248,Toy Blast
80,20600003594596,Plants vs. Zombies
81,20600003594597,Need for Speed No Limits
82,20600003630317,Jurassic World: The Game
83,20600003641694,Two Dots
84,20600003654672,World of Tanks Blitz
85,20600003680392,Turbo Dismount
86,20600003680743,Earn to Die 2
87,20600003685341,Sniper 3D Assassin
88,20600003686537,Marvel Contest of Champions
89,20600003748945,Crayola Nail Party
90,20600003777694,Dumb Ways to Die 2
91,20600003780612,Best Fiends
92,20600003816905,Crossy Road
93,20600003820289,Cops N Robbers (FPS)
94,20600003838931,Clockmaker
95,20600003849274,Kiss Kiss: Spin the Bottle
96,20600003868220,Dragon Mania Legends
97,20600003924164,War Robots
98,20600003932507,American Block Sniper Survival
99,20600003939836,Coffee Shop: Cafe Business Sim
100,20600003948740,Odd Bot Out
101,20600003973266,"Good Pizza, Great Pizza"
102,20600003976667,Stock Car Racing
103,20600004000552,Hello Kitty Nail Salon
104,20600004060809,Farm Bubbles
105,20600004102149,Angry Birds 2
106,20600004131280,Shadow Fight 3
107,20600004251992,Lucky Day
108,20600004353827,Checkers by Alex F
109,20600004355464,Toca Kitchen 2
110,20600004357712,Star Wars: Galaxy of Heroes
111,20600004394772,sand:box
112,20600004469412,Moto X3M
113,20600004474767,Truck Driver City Crush
114,20600004484637,My Town : Home Dollhouse
115,20600004502449,Agar.io
116,20600004502559,Chess by Chess Prince
117,20600004527257,Sonic Dash 2: Sonic Boom
118,20600004544023,Gardenscapes - New Acres
119,20600004544389,Wheel of Fortune Play
120,20600004595510,My Town : Police
121,20600004610026,Drive Ahead
122,20600004626374,Real Gangster Crime
123,20600004655953,Traffic Rider
124,20600004694305,PlanetCraft: Block Craft Games
125,20600004781559,World Football King
126,20600004853158,Hungry Shark World
127,20600004857659,Stick War: Legacy
128,20600004911491,Bubbu
129,20600004969810,NBA LIVE Mobile
130,20600004995085,Hollywood Story
131,20600005029603,Dan The Man
132,20600005042373,Real Commando Secret Mission
133,20600005095457,War and Order
134,20600005095980,Zombie Catchers
135,20600005110749,Geometry Dash Meltdown
136,20600005194110,Fishdom: Deep Dive
137,20600005226401,Basketball Stars
138,20600005233076,Coin Master
139,20600005263197,Cat Simulator : Kitty Craft
140,20600005274739,Piano Kids
141,20600005279750,Street Basketball Association
142,20600005325514,Clash Royale
143,20600005338224,Baby Panda's Supermarket
144,20600005357363,Lords Mobile
145,20600005383410,Talking Tom Gold Run
146,20600005484492,slither.io
147,20600005520106,PBS KIDS Games
148,20600005563485,Snake.io by Amelos Interactive
149,20600005584242,Fishing Clash: Fish Game 2020
150,20600005591862,Block! Hexa Puzzle
151,20600005616089,Bubble Witch 3 Saga
152,20600005616753,Evony
153,20600005620600,RealmCraft
154,20600005622676,Baby Care
155,20600005628735,Modern Strike
156,20600005668109,Monster Trucks Game for Kids 2
157,20600005692695,King of Avalon: Dragon Warfare
158,20600005727303,PJ Masks: Moonlight Heroes
159,20600005769386,Pepi House: Happy Family
160,20600005774752,Baby Twins
161,20600005774853,Golf Clash
162,20600005781209,Anger of Stick 5
163,20600005798980,Rodeo Stampede
