,0,1
0,329218549,Chess - Play & Learn
1,406889139,Coin Master
2,410896080,PlayStation App
3,431946152,Roblox
4,457446957,Jetpack Joyride
5,512939461,Subway Surfers
6,529479190,Clash of Clans
7,543186831,8 Ball Pool™
8,553834731,Candy Crush Saga
9,593715088,Solitaire·
10,656971078,Episode - Choose Your Story
11,664575829,Fishdom
12,698255242,Geometry Dash Lite
13,736179781,Xbox
14,880178264,Two Dots
15,924373886,Crossy Road
16,962969578,Blackbox
17,985746746,"Discord - Talk, Chat, Hang Out"
18,993492744,"Egg, Inc."
19,1055971514,Archers.io
20,1057889290,Tomb of the Mask
21,1094591345,Pokémon GO
22,1104692136,Snake.io - Fun Online Slither
23,1105855019,Gardenscapes
24,1131203560,Kahoot! Play & Create Quizzes
25,1195621598,Homescapes
26,1207472156,Wordscapes
27,1287282214,Call of Duty®: Mobile
28,1293634699,Mario Kart Tour
29,1299956969,Word Collect: Word Games
30,1300146617,Garena Free Fire - The Cobra
31,1314725881,Color Switch
32,1323957120,Granny
33,1330123889,PUBG MOBILE 3RD ANNIVERSARY
34,1344700142,UNO!™
35,1344702806,Tiles Hop - EDM Rush
36,1351168404,Among Us!
37,1386358600,Hello Neighbor
38,1407852246,Happy Color™ – Coloring Games
39,1413287364,Redecor - Home Design Makeover
40,1443446174,Magic Tiles 3: Piano Game
41,1452474937,State of Survival: Zombie War
42,1453989822,aquapark.io
43,1464235676,Blackout Bingo
44,1479198816,Top War: Battle Game
45,1482155847,Royal Match
46,1483058899,Project Makeover
47,1491074310,Tetris®
48,1491198695,Basketball Arena
49,1492451796,Woodturning 3D
50,1498229533,Parking Jam 3D
51,1499812410,Join Clash
52,1500882160,Dodge the Prank!
53,1502447854,Match 3D
54,1508418993,Trivia Star: Trivia Games Quiz
55,1512799121,Tangle Master 3D
56,1514542157,Water Sort Puzzle
57,1515957122,Stacky Dash
58,1517783697,Genshin Impact
59,1518389230,Stealth Master: Assassin Ninja
60,1519029260,Cashier 3D
61,1523081624,Nail Salon 3D
62,1523627747,Teacher Simulator
63,1524760095,Roof Rails
64,1526638009,Acrylic Nails!
65,1526842079,Braindom 2: Brain Teaser Games
66,1528269945,Save them all - drawing puzzle
67,1530162419,Fat Pusher
68,1533397036,Shortcut Run
69,1533442608,Tricky Track 3D
70,1534471879,Hit Master 3D: Knife Assassin
71,1535922800,Stretch Guy
72,1535973778,ABC Runner
73,1536131108,Giant Rush!
74,1537354049,Bear Dice
75,1537447555,Get Rich! 3D
76,1538288955,Sushi Roll 3D - ASMR Food Game
77,1538467877,City Takeover
78,1538758103,Lumbercraft
79,1539324945,Sculpt people
80,1539388451,Happy Printer
81,1539408727,Phone Case DIY
82,1540094256,Mad Dogs
83,1540979366,Oh God!
84,1542336300,Diamond Painting ASMR Coloring
85,1542737365,Perfect Wax 3D
86,1543000744,DIY Makeup
87,1543160727,DOP 2: Delete One Part
88,1544076964,Detective Masters
89,1544184294,Perfect Date 3D
90,1544772273,Fail Run
91,1545206038,Dingbats - Word Games & Trivia
92,1545306176,High Heels!
93,1546050743,Catch And Shoot
94,1546448536,Blob Runner 3D
95,1546855758,Jelly Dye
96,1547420831,Real Drive 3D
97,1548691100,Deep Clean Inc. 3D
98,1549356463,Girl Genius!
